0,top that,Rap,935,1,frederick-velez.com,2005
1,hundred school,Metal,751,2,wright-ramirez.com,2005
2,son store,Rock,721,3,romero-gilbert.com,2019
3,each decision,Hip Hop,664,4,henderson.com,1981
4,past score,Rap,536,5,rogers.com,2011
5,game energy,Heavy Metal,779,6,valdez.biz,1987
6,above along,Rock,575,7,rodriguez-cummings.com,1976
7,ok turn,Pop,983,8,castillo-smith.org,1978
8,health very,Pop,219,9,fischer.com,1996
9,center heart,Soundtrack,842,10,glenn-ball.info,1998
10,race special,Hip Hop,695,11,dickson.info,2016
11,rest special,Country,458,12,doyle-long.com,1988
12,model trade,EDM,930,13,thompson-davis.com,1984
13,win set,EDM,201,14,bullock-patel.biz,1974
14,high let,Rock,652,15,smith.org,1994
15,decision other,Heavy Metal,39,16,hernandez.com,2001
16,for between,Rap,790,17,lopez.com,1994
17,house company,Soundtrack,412,18,gomez.com,1995
18,central daughter,Pop,629,19,fisher.com,1986
19,hot listen,Hip Hop,687,20,stewart-monroe.com,2010
20,something across,Rap,536,21,bell.com,2015
21,ability music,Country,159,22,owens.biz,2012
22,federal between,Soundtrack,114,23,nelson.com,1989
23,although cultural,Rap,401,24,fields.com,1976
24,administration industry,Heavy Metal,703,25,luna.info,1983
25,past probably,Metal,264,26,fleming.net,1990
26,language evidence,Rock,853,27,mendoza.com,2008
27,lay house,Pop,886,28,mitchell.com,1976
28,can center,Soundtrack,936,29,medina.biz,1976
29,wait every,Soundtrack,319,30,campbell-greene.com,1973
30,far toward,EDM,518,31,wright.net,1997
31,least head,Soundtrack,84,32,armstrong.com,2014
32,agreement few,Hip Hop,582,33,kaufman.biz,1986
33,left miss,Heavy Metal,396,34,harmon.com,2018
34,husband American,EDM,898,35,wilson-dunlap.com,2011
35,prepare party,Pop,769,36,olson.com,2020
36,draw television,Country,659,37,dixon-martin.com,2002
37,pattern against,Hip Hop,480,38,wilson-johnson.com,1995
38,call only,Soundtrack,814,39,gonzalez-williams.com,1974
39,interest sea,Hip Hop,138,40,hodges.com,1980
40,Republican we,Rock,986,41,gregory.org,1985
41,weight certain,Pop,221,42,mclaughlin.info,1978
42,bring specific,Hip Hop,709,43,allen-henderson.com,1981
43,company table,EDM,411,44,hudson.com,2008
44,summer must,Soundtrack,951,45,ramirez-sheppard.com,1977
45,today national,Country,959,46,osborn.info,1983
46,land debate,Country,764,47,manning.com,1987
47,prove similar,Heavy Metal,750,48,rivera.com,2006
48,respond myself,Heavy Metal,580,49,hill.com,1984
49,reality decide,Metal,278,50,smith-perez.org,1990
50,cost painting,Heavy Metal,446,51,walters.com,1972
51,kind maybe,EDM,509,52,sanchez.com,1996
52,southern show,Rap,732,53,doyle.biz,1972
53,base yard,Hip Hop,508,54,simpson.com,1979
54,seem thought,Metal,534,55,shepherd.com,1990
55,deal station,Hip Hop,629,56,king.com,1993
56,wear although,Heavy Metal,368,57,rice-santos.com,1998
57,organization pick,Rock,428,58,wright.org,2017
58,treatment everyone,Country,445,59,lewis.com,2010
59,training anyone,Rap,535,60,ramsey-white.biz,1979
60,radio ball,Hip Hop,63,61,hayes-bruce.com,2002
61,stay issue,Soundtrack,975,62,obrien-long.com,1982
62,image all,Country,228,63,clayton.org,2016
63,travel firm,Heavy Metal,816,64,dodson-butler.com,1982
64,similar fund,Pop,386,65,bryant.com,1982
65,design even,EDM,702,66,mcdaniel.org,2013
66,wall across,Heavy Metal,795,67,mack-hardin.org,1995
67,such ball,Soundtrack,488,68,lee.net,1982
68,physical yourself,Metal,528,69,rivera.com,2006
69,quickly fly,Heavy Metal,99,70,bates.com,2009
70,own cost,Country,247,71,barton-garcia.com,1984
71,identify reduce,Rap,269,72,johnson-wilkins.com,1993
72,should car,Metal,602,73,perkins-cantu.com,1974
73,yard according,Hip Hop,527,74,mitchell.com,1975
74,message nature,Soundtrack,845,75,davidson.com,1979
75,figure example,Hip Hop,656,76,waters.net,2002
76,risk run,Soundtrack,884,77,anthony.org,2012
77,may research,Rock,950,78,reed.com,1973
78,national night,Hip Hop,151,79,nelson.com,2018
79,wide move,Rock,237,80,munoz.info,2013
80,spring prepare,Hip Hop,557,81,cohen-greer.biz,2012
81,safe treat,Heavy Metal,513,82,hood.info,1996
82,mouth personal,Rap,43,83,miller.com,2017
83,however police,Soundtrack,525,84,higgins-harris.com,1998
84,citizen entire,Pop,505,85,russo.com,1990
85,indeed worry,EDM,304,86,decker.net,1984
86,parent begin,Hip Hop,618,87,ramsey.com,2008
87,sometimes however,Soundtrack,558,88,walker.com,2003
88,what off,Rap,654,89,mccoy.com,1999
89,true build,Rock,777,90,ingram.com,1982
90,none anyone,Rock,283,91,wade.com,1976
91,officer throw,Rock,76,92,hartman.org,1974
92,decide floor,Metal,450,93,ferguson-cox.com,1975
93,newspaper four,Pop,736,94,kelly-vasquez.com,1983
94,teacher guess,Pop,520,95,frazier-flores.info,1988
95,sit respond,Rap,159,96,preston-greene.com,1970
96,sound science,Hip Hop,674,97,daniel.com,1988
97,fast relationship,Heavy Metal,93,98,davis.com,1988
98,film large,Heavy Metal,567,99,ho-lee.biz,2006
99,company safe,Rap,296,100,floyd-foster.com,2000
100,office leave,Metal,231,101,garcia.com,2009
101,order ready,Heavy Metal,456,102,campbell.com,1996
102,near act,EDM,914,103,norton.biz,1996
103,case identify,Country,662,104,harrison-dunn.com,1989
104,suggest among,Metal,998,105,thomas-kent.com,2003
105,remain voice,Metal,611,106,johnson-hill.com,1986
106,address economy,Rap,323,107,perez.org,1984
107,result course,Heavy Metal,287,108,matthews-levine.com,1984
108,because main,EDM,389,109,franklin.org,1996
109,specific time,Soundtrack,982,110,peterson.biz,1970
110,poor artist,Soundtrack,120,111,ho-jackson.com,1975
111,myself down,Hip Hop,866,112,smith-perez.com,1994
112,adult join,Rap,345,113,wilson.com,1982
113,just cup,Pop,541,114,tate.com,1970
114,today reduce,Rock,307,115,cohen.info,1987
115,risk wish,Hip Hop,229,116,maynard.info,2017
116,such while,Soundtrack,566,117,valentine.com,1985
117,manage including,Metal,855,118,tyler-owens.com,1974
118,behavior walk,Metal,458,119,hamilton.biz,2006
119,meeting television,Rap,375,120,murray.com,1975
120,issue Republican,Rock,326,121,solis-ewing.info,2020
121,care guy,Hip Hop,730,122,mercado.com,1986
122,behavior especially,Pop,407,123,lewis-bautista.com,1984
123,eight create,Hip Hop,629,124,martinez-johnson.com,2002
