top that,EDM,615,1,frederick-velez.com,2005
hundred school,Heavy Metal,915,2,wright-ramirez.com,2005
son store,Heavy Metal,713,3,romero-gilbert.com,2019
each decision,Hip Hop,966,4,henderson.com,1981
past score,Soundtrack,95,5,rogers.com,2011
game energy,Soundtrack,55,6,valdez.biz,1987
above along,Rock,220,7,rodriguez-cummings.com,1976
ok turn,Hip Hop,347,8,castillo-smith.org,1978
health very,EDM,338,9,fischer.com,1996
center heart,Rock,85,10,glenn-ball.info,1998
race special,Soundtrack,346,11,dickson.info,2016
rest special,Hip Hop,727,12,doyle-long.com,1988
model trade,Pop,785,13,thompson-davis.com,1984
win set,EDM,949,14,bullock-patel.biz,1974
high let,Hip Hop,887,15,smith.org,1994
decision other,Pop,823,16,hernandez.com,2001
for between,EDM,740,17,lopez.com,1994
house company,Pop,384,18,gomez.com,1995
central daughter,Hip Hop,421,19,fisher.com,1986
hot listen,Soundtrack,141,20,stewart-monroe.com,2010
something across,Hip Hop,105,21,bell.com,2015
ability music,EDM,944,22,owens.biz,2012
federal between,Pop,964,23,nelson.com,1989
although cultural,Rock,625,24,fields.com,1976
administration industry,Metal,327,25,luna.info,1983
past probably,Metal,516,26,fleming.net,1990
language evidence,Pop,44,27,mendoza.com,2008
lay house,EDM,36,28,mitchell.com,1976
can center,Rock,1000,29,medina.biz,1976
wait every,Rock,765,30,campbell-greene.com,1973
far toward,EDM,252,31,wright.net,1997
least head,Metal,207,32,armstrong.com,2014
agreement few,EDM,932,33,kaufman.biz,1986
left miss,Country,228,34,harmon.com,2018
husband American,Hip Hop,847,35,wilson-dunlap.com,2011
prepare party,Soundtrack,269,36,olson.com,2020
draw television,Rock,868,37,dixon-martin.com,2002
pattern against,Pop,611,38,wilson-johnson.com,1995
call only,Pop,207,39,gonzalez-williams.com,1974
interest sea,Soundtrack,626,40,hodges.com,1980
Republican we,Soundtrack,623,41,gregory.org,1985
weight certain,Metal,161,42,mclaughlin.info,1978
bring specific,Country,503,43,allen-henderson.com,1981
company table,Metal,985,44,hudson.com,2008
summer must,Rock,719,45,ramirez-sheppard.com,1977
today national,Rock,401,46,osborn.info,1983
land debate,Metal,706,47,manning.com,1987
prove similar,Pop,68,48,rivera.com,2006
respond myself,Country,111,49,hill.com,1984
reality decide,EDM,186,50,smith-perez.org,1990
cost painting,Country,364,51,walters.com,1972
kind maybe,Hip Hop,239,52,sanchez.com,1996
southern show,Rap,970,53,doyle.biz,1972
base yard,Rock,710,54,simpson.com,1979
seem thought,Rock,454,55,shepherd.com,1990
deal station,Country,102,56,king.com,1993
wear although,Pop,761,57,rice-santos.com,1998
organization pick,Pop,341,58,wright.org,2017
treatment everyone,Rap,582,59,lewis.com,2010
training anyone,Rock,565,60,ramsey-white.biz,1979
radio ball,Hip Hop,211,61,hayes-bruce.com,2002
stay issue,EDM,918,62,obrien-long.com,1982
image all,Pop,152,63,clayton.org,2016
travel firm,Country,179,64,dodson-butler.com,1982
similar fund,EDM,168,65,bryant.com,1982
design even,Soundtrack,486,66,mcdaniel.org,2013
wall across,EDM,519,67,mack-hardin.org,1995
such ball,EDM,47,68,lee.net,1982
physical yourself,Hip Hop,717,69,rivera.com,2006
quickly fly,Rock,351,70,bates.com,2009
own cost,Country,600,71,barton-garcia.com,1984
identify reduce,Soundtrack,344,72,johnson-wilkins.com,1993
should car,Pop,892,73,perkins-cantu.com,1974
yard according,Country,223,74,mitchell.com,1975
message nature,Rock,956,75,davidson.com,1979
figure example,Pop,552,76,waters.net,2002
risk run,Heavy Metal,248,77,anthony.org,2012
may research,Pop,841,78,reed.com,1973
national night,Metal,907,79,nelson.com,2018
wide move,Hip Hop,156,80,munoz.info,2013
spring prepare,Metal,426,81,cohen-greer.biz,2012
safe treat,Soundtrack,752,82,hood.info,1996
mouth personal,Soundtrack,402,83,miller.com,2017
however police,Rap,120,84,higgins-harris.com,1998
citizen entire,Rap,608,85,russo.com,1990
indeed worry,Metal,718,86,decker.net,1984
parent begin,Rock,622,87,ramsey.com,2008
sometimes however,Country,853,88,walker.com,2003
what off,Hip Hop,871,89,mccoy.com,1999
true build,Hip Hop,550,90,ingram.com,1982
none anyone,Hip Hop,101,91,wade.com,1976
officer throw,Heavy Metal,854,92,hartman.org,1974
decide floor,Rock,332,93,ferguson-cox.com,1975
newspaper four,Metal,440,94,kelly-vasquez.com,1983
teacher guess,EDM,514,95,frazier-flores.info,1988
sit respond,Soundtrack,134,96,preston-greene.com,1970
sound science,Pop,565,97,daniel.com,1988
